Date,Open,High,Low,Close,Volume,Adj Close,PB,NASDAQ
11/10/2015,105.959999,108.150002,105.239998,107.910004,25031700,107.910004,7.368,1
11/9/2015,107,108.25,105.860001,106.489998,26383500,106.489998,7.271,1
11/6/2015,108.040001,108.739998,105.910004,107.099998,35084300,107.099998,7.312,1
11/5/2015,108.800003,110.650002,107.949997,108.760002,63232900,108.760002,7.426,1
11/4/2015,103.190002,104.139999,102.480003,103.940002,43469300,103.940002,7.097,1
11/3/2015,103.220001,103.650002,102.400002,102.580002,21242300,102.580002,7.004,1
11/2/2015,101.720001,103.470001,101.18,103.309998,24003900,103.309998,7.054,1
10/30/2015,104.510002,104.720001,101.650002,101.970001,33487100,101.970001,6.928,1
10/29/2015,103.959999,105.120003,103.519997,104.879997,20316700,104.879997,7.125,1
10/28/2015,103.900002,104.480003,102.919998,104.199997,24081500,104.199997,7.079,1
10/27/2015,102.940002,104.099998,102.400002,103.699997,23795500,103.699997,7.045,1
10/26/2015,102.199997,103.809998,101.550003,103.769997,25961200,103.769997,7.05,1
10/23/2015,101.910004,102.849998,100.160004,102.190002,42809700,102.190002,6.943,1
10/22/2015,97.790001,99.730003,97.550003,99.669998,26392100,99.669998,6.771,1
10/21/2015,97.370003,98.18,96.470001,97.110001,21917800,97.110001,6.598,1
10/20/2015,98.730003,99.589996,96.559998,97,30881800,97,6.59,1
10/19/2015,97.18,98.57,96.919998,98.470001,23729900,98.470001,6.69,1
10/16/2015,96.18,97.589996,95.349998,97.540001,25412900,97.540001,6.627,1
10/15/2015,94.989998,96.300003,94.900002,95.959999,27557500,95.959999,6.519,1
10/14/2015,94.080002,95.199997,93.610001,94.07,19253400,94.07,6.391,1
10/13/2015,93.660004,95.370003,93.550003,94.120003,19480300,94.120003,6.394,1
10/12/2015,93.32,94.599998,92.669998,94.260002,18449600,94.260002,6.404,1
10/9/2015,92.900002,93.739998,92.239998,93.239998,20012900,93.239998,6.335,1
10/8/2015,91.889999,93.220001,90.470001,92.470001,27290500,92.470001,6.282,1
10/7/2015,93.110001,93.660004,91.370003,92.400002,24129300,92.400002,6.278,1
10/6/2015,94.080002,94.169998,92.339996,92.800003,22488300,92.800003,6.305,1
10/5/2015,92.940002,94.269997,92.660004,94.010002,27292500,94.010002,6.387,1
10/2/2015,88.900002,92.199997,88.370003,92.07,37881700,92.07,6.255,1
10/1/2015,90.050003,90.949997,88.360001,90.949997,29283700,90.949997,6.179,1
9/30/2015,88.440002,90.019997,88.010002,89.900002,36169100,89.900002,6.108,1
9/29/2015,89.099998,90.059998,85.720001,86.669998,42281800,86.669998,6.19,1
9/28/2015,92.080002,92.290001,88.18,89.209999,41199900,89.209999,6.371,1
9/25/2015,95.790001,95.849998,92.059998,92.769997,28961600,92.769997,6.625,1
9/24/2015,93.059998,94.769997,92.239998,94.410004,29106000,94.410004,6.742,1
9/23/2015,93.400002,94.32,92.800003,93.970001,21701400,93.970001,6.711,1
9/22/2015,93.769997,94.68,91.919998,92.959999,36888900,92.959999,6.639,1
9/21/2015,94.620003,96.489998,94.519997,95.550003,28790000,95.550003,6.824,1
9/18/2015,93.199997,95.190002,93.050003,94.400002,62300000,94.400002,6.742,1
9/17/2015,93.370003,95.510002,92.900002,94.339996,27841800,94.339996,6.738,1
9/16/2015,92.900002,93.599998,92.629997,93.449997,16321200,93.449997,6.674,1
9/15/2015,92.370003,93.25,91.790001,92.900002,18859400,92.900002,6.635,1
9/14/2015,92.309998,92.620003,91.599998,92.309998,20127900,92.309998,6.592,1
9/11/2015,91.68,92.080002,91.129997,92.050003,21185000,92.050003,6.574,1
9/10/2015,90.07,92.059998,89.629997,91.980003,26437400,91.980003,6.569,1
9/9/2015,90.779999,91.980003,90.169998,90.440002,32551100,90.440002,6.459,1
9/8/2015,89.690002,90.239998,88.830002,89.529999,27012500,89.529999,6.394,1
9/4/2015,87.199997,88.389999,86.699997,88.260002,27328700,88.260002,6.303,1
9/3/2015,89.760002,89.82,87.730003,88.150002,27048200,88.150002,6.295,1
9/2/2015,88.809998,89.889999,87.629997,89.889999,27190500,89.889999,6.42,1
9/1/2015,86.849998,89.389999,86.5,87.230003,36097400,87.230003,6.23,1
8/31/2015,90.599998,91.050003,88.889999,89.43,32850700,89.43,6.387,1
8/28/2015,89.879997,91.480003,89.790001,91.010002,33215900,91.010002,6.5,1
8/27/2015,89.099998,90.059998,87.190002,89.730003,42431400,89.730003,6.408,1
8/26/2015,85.949997,87.459999,83.260002,87.190002,45124300,87.190002,6.227,1
8/25/2015,86.949997,87.669998,83,83,52021200,83,5.928,1
8/24/2015,77.029999,82.089996,72,82.089996,83710700,82.089996,5.863,1
8/21/2015,87.519997,89.18,85.610001,86.059998,62778700,86.059998,6.146,1
8/20/2015,93.540001,94.769997,90.459999,90.559998,44598200,90.559998,6.468,1
8/19/2015,94.629997,96.099998,94.160004,95.309998,23251300,95.309998,6.807,1
8/18/2015,94.080002,95.849998,94.040001,95.169998,22278800,95.169998,6.797,1
8/17/2015,94.419998,94.459999,93.389999,93.93,18313500,93.93,6.708,1
8/14/2015,93.540001,94.720001,93.209999,94.419998,15929700,94.419998,6.743,1
8/13/2015,94.050003,94.730003,93.349998,93.43,17451800,93.43,6.672,1
8/12/2015,92.699997,94.440002,91.190002,94.190002,27050500,94.190002,6.727,1
8/11/2015,93.730003,94.760002,92.900002,93.620003,22491000,93.620003,6.686,1
8/10/2015,95.68,95.900002,93.629997,94.150002,21624200,94.150002,6.724,1
